F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Label,Prob
-0.641,0.811,2.043,0.812,0.487,0.073,-0.484,0.624,-1.64,-0.398,3.07,-0.867,0,0.056
1.854,-2.548,0.268,0.675,0.206,0.374,-1.201,-0.927,0.251,-0.468,0.048,0.954,1,0.879
0.292,-0.133,-1.291,1.038,-1.007,-1.217,-0.39,0.894,-2.598,0.528,-0.462,0.037,0,0.054
-1.472,1.711,-0.538,-0.043,1.108,0.941,0.413,-0.843,1.065,0.538,0.257,-0.673,1,0.549
-0.172,-0.319,-1.128,0.817,0.281,-0.845,0.37,-0.118,0.567,0.068,-1.462,0.287,0,0.592
1.851,-0.471,-0.647,-2.357,-0.815,0.788,-2.536,0.865,-0.162,2.512,-0.391,1.579,1,0.885
-0.633,0.511,-1.793,0.237,-1.382,-1.236,0.569,0.611,0.135,1.128,0.092,0.839,0,0.385
-0.037,-0.801,-1.527,-0.0,-1.719,-1.541,-0.0,1.729,-0.851,-1.977,0.847,-0.843,1,0.202
0.453,0.119,0.616,0.704,-0.634,1.124,0.428,-1.361,0.977,-1.779,-0.143,1.301,0,0.585
-2.158,-0.438,-1.715,-0.121,-0.369,0.496,-1.147,2.023,-0.668,0.772,-0.709,-1.633,1,0.425
0.804,1.542,0.647,-2.297,-0.618,0.775,0.223,-1.911,-0.598,0.709,0.137,-0.263,0,0.398
1.214,-0.771,-0.376,2.651,-0.106,1.193,-0.274,-0.173,1.67,-1.336,-0.452,1.78,1,0.803
2.479,0.807,-0.696,0.419,-0.473,0.329,-0.973,-1.377,0.071,-1.828,-0.339,0.36,0,0.110
-1.059,-1.784,-0.361,-0.797,-0.089,1.017,-0.101,1.059,2.214,1.003,-0.032,0.964,1,0.861
-0.416,0.279,0.331,-0.176,0.918,-0.309,-2.789,-1.104,-1.112,-1.18,0.243,-1.098,0,0.241
-1.406,1.173,0.013,-0.734,1.163,0.833,0.489,-1.54,-0.448,1.05,1.151,-2.239,1,0.703
-1.354,0.776,1.999,-1.496,-0.068,0.02,0.274,0.851,-1.942,-0.825,0.354,-0.957,0,0.513
-2.15,0.416,-1.879,-1.074,-1.611,-0.967,-0.658,0.201,3.167,1.583,0.556,-0.494,1,0.713
-1.063,2.14,-0.724,0.396,-0.641,-1.701,0.099,-0.215,1.074,0.747,-0.902,0.618,0,0.300
-0.212,-0.824,0.043,3.098,0.613,1.353,-0.934,-0.367,0.935,-0.087,-0.752,0.793,1,0.786
1.838,0.677,0.198,-1.768,-1.018,0.565,-1.634,0.509,-1.123,-0.239,-1.968,-0.671,0,0.197
0.16,-1.68,-0.111,0.929,-1.317,0.391,0.2,-0.999,1.103,-1.883,0.988,1.261,1,0.641
0.194,0.169,0.405,-1.042,-2.586,0.122,-0.41,2.207,-1.59,0.335,0.159,0.385,0,0.366
-1.71,1.329,0.051,-0.272,0.085,-2.71,1.875,-0.495,-2.187,-0.594,-0.406,-1.503,1,0.198
-0.606,-0.135,-0.077,-0.923,0.556,-0.576,-0.502,1.972,1.32,-0.79,-0.93,-0.477,0,0.715
0.559,-0.396,-1.283,1.077,-0.015,1.125,-0.899,1.016,-0.566,0.353,-0.853,-0.554,1,0.389
-1.2,0.105,-1.564,2.535,-1.527,1.511,-1.078,-1.171,-2.872,0.674,-0.347,-3.817,0,0.045
-0.432,-0.067,0.073,2.418,-0.354,1.328,1.144,-0.094,-1.257,4.142,0.257,-0.553,1,0.881
0.157,0.063,2.852,0.875,-3.295,0.287,-1.247,-0.227,0.416,-2.292,-1.98,-0.214,0,0.135
-1.189,-1.425,-0.531,0.471,0.302,-0.922,-1.199,1.872,0.403,-1.146,-0.273,0.014,1,0.824
-0.087,-1.786,2.629,-1.231,0.143,-0.347,0.329,-0.231,-0.966,-0.302,0.818,0.619,0,0.448
0.846,-1.887,0.083,1.358,0.411,1.178,1.635,1.76,0.77,-1.766,0.328,-0.113,1,0.934
0.671,0.441,-1.227,-1.996,0.157,1.591,-0.649,-2.473,1.848,-0.193,1.275,-0.529,0,0.509
-1.169,1.176,-0.0,-0.015,0.153,1.221,-0.033,-0.587,-0.687,0.475,-0.145,0.455,1,0.351
-0.636,-0.14,-1.163,0.535,-0.338,0.443,0.631,-1.019,0.203,-0.558,-0.343,-0.509,0,0.417
0.104,0.815,2.164,-1.584,1.027,-0.004,0.235,-0.02,1.654,2.7,-1.081,-0.838,1,0.641
-1.473,2.105,2.108,-0.748,-2.063,-1.727,0.241,1.281,-0.866,-0.94,1.791,-1.651,0,0.242
-1.492,-0.112,-2.051,-0.655,0.225,0.365,-0.537,-0.66,-0.068,0.415,-0.973,-1.518,1,0.572
0.639,0.408,-1.227,0.012,0.378,-0.097,0.056,0.996,1.273,0.004,-0.704,0.694,0,0.310
-0.13,0.038,0.352,1.79,0.929,0.906,-1.049,-0.651,0.498,0.097,1.284,-1.68,1,0.649
-0.182,-0.523,-0.042,3.333,0.544,-0.282,-0.005,0.308,-0.28,2.159,0.594,-0.636,0,0.922
0.311,-1.341,0.73,1.673,1.387,0.518,-1.074,-0.553,1.809,-1.962,2.01,0.651,1,0.802
1.496,0.071,-0.659,1.379,-1.023,0.196,0.522,2.239,-0.623,0.274,-0.358,-0.695,0,0.264
-1.599,-0.396,0.025,-0.138,-0.376,1.883,1.486,0.04,0.406,-1.306,1.643,3.028,1,0.803
-0.337,0.221,0.857,0.115,-0.187,0.647,-1.013,0.203,0.967,-0.489,-0.946,-1.148,0,0.564
1.451,0.121,-0.643,-0.823,-0.449,-0.078,-0.364,1.685,0.499,3.243,-0.253,-0.429,1,0.888
-1.817,1.279,-2.713,0.065,-1.396,-0.214,1.032,-0.027,-0.268,-0.288,0.893,-0.216,0,0.217
-2.462,-1.006,-0.555,0.387,-0.399,-0.977,0.256,0.519,0.096,0.79,-0.664,0.087,1,0.627
-0.258,-0.219,1.069,1.12,3.64,0.206,-0.344,-0.75,0.13,0.672,-2.321,1.297,0,0.304
-1.651,-0.726,0.938,0.651,-0.491,-0.453,0.092,2.072,0.929,2.491,-0.382,-1.557,1,0.852
0.059,0.862,0.476,-1.834,-0.31,0.069,-3.49,-0.247,-2.264,-0.398,-0.016,0.28,0,0.180
0.891,-2.39,0.982,-0.672,2.421,-0.909,0.849,-0.246,-0.74,-1.312,-0.931,-2.758,1,0.679
0.821,-0.032,-1.386,2.148,-1.344,0.97,-1.618,0.985,-0.877,-1.919,0.818,-0.667,0,0.178
-0.756,-1.974,-0.297,-1.52,0.097,0.892,-0.875,1.295,-0.166,-0.246,1.247,-1.953,1,0.881
0.332,-0.111,-1.446,0.252,0.943,0.665,-1.352,-2.843,-0.465,-0.206,1.442,-1.38,0,0.405
-1.038,-0.878,0.859,-0.398,1.383,0.355,-0.607,1.48,0.885,-0.245,-1.486,-1.508,1,0.785
-1.967,0.515,1.542,-0.648,1.437,-0.566,1.463,0.924,-0.066,-1.623,0.417,-0.78,0,0.578
-0.014,0.656,-3.335,-1.498,-4.507,-0.86,-1.068,-1.769,-1.29,2.775,0.154,-0.571,1,0.929
-0.416,0.323,-1.211,-0.009,0.772,-2.53,0.839,1.064,1.747,0.818,-0.353,1.142,0,0.297
0.139,-0.178,0.712,-2.046,0.726,-0.452,1.407,0.473,0.987,-0.423,-0.394,-1.669,1,0.617
0.375,-0.724,0.791,-1.901,-0.492,0.007,0.189,-1.797,-0.412,1.228,1.551,-0.978,0,0.493
1.063,2.904,0.994,0.597,-0.681,1.72,1.49,-1.4,0.278,0.118,0.433,-0.44,1,0.615
0.985,-1.631,-1.286,-0.609,-0.721,-1.353,-1.039,1.395,-2.1,0.43,-0.093,0.857,0,0.490
-1.4,-0.145,1.192,-1.061,-0.431,-0.267,0.247,-1.143,2.636,-1.502,-2.471,-0.039,1,0.671
-0.783,-0.191,0.017,-0.299,-0.828,-1.019,-1.195,-0.981,0.393,1.47,-3.456,-1.251,0,0.658
1.082,-0.738,0.009,-0.205,-1.862,0.431,-1.434,-0.199,1.708,-0.097,-1.264,1.862,1,0.547
-0.6,-1.213,-1.969,-1.824,-0.9,1.48,-0.529,-0.612,1.347,-0.0,-0.222,-2.737,0,0.718
1.009,-0.341,-1.577,-0.276,-0.251,-0.392,3.305,-0.011,-1.183,1.37,0.725,-0.012,1,0.414
-0.527,-0.367,0.239,-1.364,-0.425,-0.598,0.388,-1.494,1.568,-2.604,-1.197,0.969,0,0.518
-1.265,-0.181,-0.748,1.66,0.675,0.787,1.86,0.45,0.353,-1.174,0.722,0.403,1,0.663
0.692,1.678,0.331,-0.089,-0.429,-1.294,0.768,-0.651,-1.92,0.059,-1.384,0.414,0,0.184
0.368,-1.193,-0.425,-0.698,-2.716,1.16,0.548,0.286,-0.288,-1.209,-1.024,2.307,1,0.649
0.08,-0.205,0.102,-0.45,-0.211,-2.149,-1.022,-0.07,-0.666,0.452,0.615,0.15,0,0.419
-0.428,-0.193,0.556,-1.588,-0.347,-1.105,-0.046,0.827,-0.825,-0.725,0.352,-0.989,1,0.346
-0.595,-1.28,0.325,0.223,2.536,-2.757,-1.401,-1.652,-1.538,-0.729,0.258,0.557,0,0.277
1.814,-1.011,-0.437,-1.869,0.962,1.723,1.759,-1.386,-0.116,-0.176,-1.562,-3.211,1,0.644
-1.757,1.917,0.542,1.607,-1.24,-0.913,0.129,1.347,-0.935,-1.232,-0.497,-0.747,0,0.198
