Label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
0,-0.441,2.167,1.895,2.142,-0.706,0.356,0.370,-0.212,-1.495,-0.298,-0.465,-0.606
1,1.945,-1.393,-1.203,1.544,0.995,0.023,-1.795,-0.192,0.775,-1.445,0.467,2.425
0,1.113,-0.056,-0.244,-1.291,-1.541,-0.912,-1.831,2.030,-0.485,0.228,0.964,1.491
1,-0.754,-0.073,0.552,-0.949,2.282,1.208,-0.288,0.436,-0.224,0.168,0.042,-0.313
0,-0.750,1.770,-0.512,-2.264,-1.485,1.329,-2.986,0.819,-0.051,0.621,-1.627,-0.265
1,0.688,0.049,-0.713,0.951,-0.884,1.235,-1.638,1.208,-0.045,0.731,0.644,-0.973
0,-2.684,0.427,-1.395,0.649,-0.561,-0.240,0.106,-0.609,1.183,0.670,0.695,-2.109
1,0.926,-1.226,-0.737,-0.153,0.715,-0.019,0.234,0.174,-0.642,-1.928,0.310,-1.732
0,1.667,-2.488,1.132,2.056,-2.547,1.736,-0.200,-1.064,0.299,1.161,-0.760,1.496
1,-1.295,-0.007,-0.279,2.099,-0.474,0.842,0.259,1.221,-0.697,0.578,1.346,-1.383
0,-0.395,-0.171,1.316,-1.155,0.662,-0.286,2.544,-0.883,-1.562,0.662,-0.299,0.404
1,-0.146,0.892,-0.234,2.265,-1.320,0.616,-0.528,-0.843,-0.377,0.097,-1.419,1.807
0,2.948,0.966,-0.296,0.017,-0.095,-3.559,-0.462,0.448,0.775,0.316,-0.901,-1.353
1,-1.509,-0.956,1.561,0.444,-0.179,1.895,-1.287,2.351,0.516,-1.419,0.690,-0.357
0,-2.311,0.223,3.460,-0.186,1.184,0.479,-1.827,-1.270,-1.129,-0.146,2.906,-1.001
1,-3.437,0.924,0.637,-0.715,2.889,0.848,0.738,0.104,2.071,-1.399,-0.949,-1.760
0,0.009,-0.494,-0.546,0.885,-0.201,0.829,-1.148,0.795,-0.766,0.399,0.379,-2.216
1,-0.887,-0.088,0.607,-0.444,-0.091,0.186,-0.577,-0.933,1.028,1.278,-0.905,-0.828
0,-0.293,-0.528,-1.213,0.699,1.977,2.093,2.013,0.727,1.972,-0.004,-0.319,0.670
1,0.026,0.324,0.996,1.908,1.875,1.615,-1.404,0.254,1.382,1.813,-0.285,-1.948
0,4.058,-0.527,1.627,-1.445,0.178,-0.286,0.962,0.707,-1.705,1.938,0.021,-0.438
1,1.359,-0.924,0.220,0.217,1.063,0.984,0.147,-0.284,0.674,-0.779,1.404,-0.747
0,1.205,-0.124,-0.923,0.151,-1.424,-1.173,-1.208,0.897,1.496,-1.155,-2.653,-1.098
1,-0.705,0.421,-1.044,-0.889,-0.486,-0.026,-1.698,1.241,1.921,0.420,-1.010,0.064
0,0.433,0.409,-1.138,-0.132,0.963,0.616,0.165,1.759,2.401,-0.251,-1.332,-0.011
1,0.090,-1.081,-0.361,2.149,0.482,0.448,-1.352,-0.506,1.517,0.735,-1.536,-0.381
0,-4.616,0.077,-0.594,-0.241,-0.573,-1.968,-0.587,-0.313,0.466,1.018,-1.460,0.659
1,-0.386,-1.426,-3.696,-0.056,-0.374,-0.717,-0.589,-0.884,-0.335,-1.337,0.718,0.326
0,-1.131,0.215,0.855,-0.871,1.204,-0.115,-1.687,-1.342,1.480,0.285,-1.868,0.212
1,0.159,-0.193,-0.459,0.194,-1.218,-1.402,0.270,0.819,-0.072,2.321,-1.290,-0.470
0,0.856,-0.893,1.138,0.360,-0.853,0.255,2.002,-0.797,-0.956,1.434,-1.666,-0.563
